City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,10.4,83,70,1.06,AU,1712096283
84,touros,-5.1989,-35.4608,27.38,82,63,2.47,BR,1712096223
85,piti village,13.4626,144.6933,28.03,86,90,8.2,GU,1712096167
86,mugia,43.1041,-9.2179,14.39,92,28,9.17,ES,1712096283
87,holualoa,19.6228,-155.9522,25.91,82,40,4.63,US,1712096284
88,pacific grove,36.6177,-121.9166,22.03,73,0,3.09,US,1712096204
89,le port,-20.9373,55.2919,25.0,78,85,4.44,RE,1712096284
90,vorgashor,67.5833,63.95,-16.63,91,100,8.64,RU,1712096284
91,prince george,53.9166,-122.753,12.69,47,100,7.72,CA,1712096110
92,pizarro,4.9533,-77.366,25.49,91,95,4.85,CO,1712096285
93,puerto natales,-51.7236,-72.4875,4.12,80,26,3.58,CL,1712096285
94,tsiombe,-25.3,45.4833,21.29,87,0,4.96,MG,1712096285
95,zhangatas,43.5667,69.75,8.3,55,30,2.39,KZ,1712096286
96,kodiak,57.79,-152.4072,0.73,34,0,9.26,US,1712096286
97,saipan,15.1355,145.701,27.58,1,40,6.69,MP,1712096065
98,nizhneangarsk,55.7833,109.55,-15.0,88,16,1.79,RU,1712096286
99,invercargill,-46.4,168.35,15.57,74,100,4.47,NZ,1712095989
100,puerto penasco,31.3167,-113.5333,23.99,58,20,5.14,MX,1712096287
101,villa gesell,-37.2639,-56.973,17.25,58,75,8.23,AR,1712096281
102,catio,11.2833,-15.25,25.12,69,6,4.4,GW,1712096287
103,crane,31.3974,-102.3501,19.21,22,81,6.8,US,1712096288
104,punta del este,-34.9667,-54.95,18.26,68,75,3.58,UY,1712096288
105,newman,37.3138,-121.0208,24.6,41,0,2.68,US,1712096288
106,al badari,26.9926,31.4155,25.97,29,0,4.63,EG,1712096288
107,faya-largeau,17.9257,19.1043,28.09,12,59,5.33,TD,1712096289
108,coronel suarez,-37.4547,-61.9334,17.64,51,92,7.52,AR,1712096103
109,senador guiomard,-10.1522,-67.7392,30.86,76,31,1.86,BR,1712096289
110,dapa,9.7594,126.0531,26.39,79,14,2.93,PH,1712096289
111,vila franca do campo,37.7167,-25.4333,18.27,99,88,9.1,PT,1712096289
112,lintong,34.378,109.2089,14.61,53,100,1.37,CN,1712096290
113,lompoc,34.6391,-120.4579,22.69,53,0,5.14,US,1712096101
114,arkhangel'sk,64.5401,40.5433,-7.15,73,20,4.0,RU,1712096158
115,hengchun,22.0042,120.7439,26.02,83,2,3.96,TW,1712096290
116,wotje,9.4543,170.2367,26.94,73,100,7.4,MH,1712096291
117,shingu,33.7333,135.9833,14.74,88,100,1.92,JP,1712096291
118,bikenibeu village,1.3673,173.1241,28.98,84,40,2.06,KI,1712096135
119,portland,45.5234,-122.6762,24.46,41,20,2.06,US,1712095790
120,suksun,57.1431,57.3949,4.09,98,100,5.96,RU,1712096291
121,maintirano,-18.0667,44.0167,25.91,86,2,2.99,MG,1712096292
122,chibougamau,49.9168,-74.3659,0.19,73,86,3.62,CA,1712096239
123,al jawf,29.5,38.75,21.42,24,3,4.87,SA,1712096292
124,tambacounda,13.7539,-13.7586,36.66,13,0,2.6,SN,1712096292
125,yacimiento rio turbio,-51.5732,-72.3508,0.28,84,41,4.09,AR,1712096293
126,fale old settlement,-9.3852,-171.2468,29.3,73,70,1.56,TK,1712096293
127,revda,56.801,59.9303,4.06,97,100,5.73,RU,1712096293
128,nuuk,64.1835,-51.7216,-0.66,74,18,4.12,GL,1712096125
129,gadzhiyevo,69.2551,33.3362,-18.79,98,35,3.45,RU,1712096185
130,owando,-0.4819,15.8999,25.14,78,100,1.28,CG,1712096294
131,noosa heads,-26.3833,153.15,25.62,79,2,2.28,AU,1712096294
